Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
6	1.972742	0.7347605	47.16597	97325.94	0	0	1.87894	401.8566167
6	1.515148	0.7998526	51.43125	97327.71	0	0	1.869576667	402.2967864
6	1.081309	0.400431	54.55561	97322.96	0	0	1.870956667	404.1826273
6	0.9448683	0.6077297	54.82318	97316.25	0	0	1.87943	402.9523198
6	0.7314333	0.4611623	56.02311	97297.23	0	0	1.860483333	404.3260147
6	0.56002	0.7699099	58.17981	97281.93	0	0	1.86651	404.4216005
6	0.6154848	0.3624314	60.03168	97268.96	0	0	1.86703	404.5689727
6	0.6259511	0.3088982	60.16034	97251.81	0	0	1.866363333	404.522023
6	0.5663207	0.1274079	62.95098	97249.98	0	0	1.855643333	406.7811469
6	0.111445	0.8473061	69.30138	97253.5	0	0	1.86351	408.5324919
6	0.1439895	0.1271222	70.315	97261.86	0	0	1.861056667	408.5730473
6	0.0541968	0.8334725	72.50265	97271.13	0	0	1.859223333	408.9645477
6	-0.1526587	0.4794712	78.08585	97257.58	0	0	1.85252	409.4111238
7	-0.266145	0.2078456	85.60418	97239.64	0	0	1.857596667	410.5173289
7	-0.05145493	0.8168178	87.86632	97212.87	0	0	1.85714	410.1128103
7	-0.1056969	0.9519353	91.6284	97202.23	0	0	1.85868	408.7765306
7	-0.162437	0.4167904	95.55264	97173.45	0	0	1.851716667	409.5260217
7	-0.1629408	1.107346	97.34818	97143.84	0	0	1.853776667	409.677487
7	-0.05188625	1.140129	98.35058	97142.2	0	0	1.854523333	409.7729839
7	0.227271	0.7555358	97.36523	97142.53	0	0	1.852633333	409.4976549
7	-0.0444537	1.268335	99.43188	97129.14	0	0	1.85652	411.0964954
7	0.1076539	1.393101	100	97106.96	0	0	1.854566667	410.2947546
7	0.6206949	0.5588343	100	97083.82	0	0	1.8338	407.8393372
7	0.6934232	0.7650216	100	97053.1	0	0	1.843823333	409.1521366
7	0.09302677	0.1836339	100	97022.87	0	0	1.84803	411.6986006
7	0.1391488	1.352679	100	97010.44	0	0	1.852666667	412.3913552
7	-0.04203115	0.9655101	100	97001.06	0	0	1.84809	413.9085232
7	0.09425268	0.9979854	100	96987.21	0	0	1.843923333	410.9666976
7	0.1588875	0.5968058	100	96966.47	0	0	1.8419	409.3607091
7	0.3174305	0.2401772	100	96963.04	0	0	1.848766667	409.8057573
7	0.4109793	0	100	96973.62	10.42	21.82	1.857733333	409.2279154
7	0.4018573	0	100	96975.98	40.48	79.6	1.848066667	411.9244782
7	0.5939867	0	100	96972.25	77.1	159.1	1.836286667	413.9141693
7	1.493652	0	100	96953.67	190	412.1	1.8464	412.049737
7	1.785086	0.6950852	100	96936.32	152.8	329.1	1.837766667	412.3978375
7	1.904798	0.8413485	100	96922.24	130	280.8	1.8414	411.0332945
7	2.451442	0.1733019	100	96896.17	150	321.1	1.845533333	406.7916504
7	2.937501	0.2210153	100	96867.29	127.4	278.4	1.841633333	406.4739458
7	3.056569	0.3074736	100	96815.64	124.3	273.7	1.8475	405.8905907
